Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Justin Jefferson,MIN,WR,23,1,1,11,9,0,0,0,0,0,0,184,2,30,0,0,0
Saquon Barkley,NYG,RB,25,1,1,7,6,0,0,0,164,1,18,30,0,27,0,1,0
Patrick Mahomes,KAN,QB,27,1,1,0,0,360,5,39,5,0,3,0,0,35,0,1,0
Jonathan Taylor,IND,RB,23,1,1,7,4,0,0,0,161,1,31,14,0,24,0,0,0
D'Andre Swift,DET,RB,23,1,1,3,3,0,0,0,144,1,15,31,0,24,0,0,0
Josh Allen,BUF,QB,26,1,1,0,0,297,3,31,56,1,10,0,0,31,2,0,0
Travis Kelce,KAN,TE,33,1,1,9,8,0,0,0,0,0,0,121,1,18,0,0,0
Davante Adams,LVR,WR,30,1,1,17,10,0,0,0,0,0,0,141,1,20,0,0,0
Cordarrelle Patterson,ATL,RB,31,1,0,5,3,0,0,0,120,1,22,16,0,20,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,1,1,3,3,0,0,0,42,0,7,32,2,19,0,0,0
Ja'Marr Chase,CIN,WR,22,1,1,16,10,0,0,0,0,0,0,129,1,19,0,0,0
Cooper Kupp,LAR,WR,29,1,1,15,13,0,0,0,0,0,0,128,1,19,0,0,0
Kareem Hunt,CLE,RB,27,1,0,4,4,0,0,0,46,1,11,24,1,19,0,0,0
Dontrell Hilliard,TEN,RB,27,1,0,4,3,0,0,0,8,0,2,61,2,19,0,0,0
James Robinson,JAX,RB,24,1,1,2,1,0,0,0,66,1,11,3,1,19,0,0,0
O.J. Howard,HOU,TE,28,1,0,2,2,0,0,0,0,0,0,38,2,16,0,0,0
Stefon Diggs,BUF,WR,29,1,1,9,8,0,0,0,0,0,0,122,1,18,0,0,0
Michael Pittman Jr.,IND,WR,25,1,1,13,9,0,0,0,0,0,0,121,1,18,0,0,0
Carson Wentz,WAS,QB,30,1,1,0,0,313,4,41,12,0,6,0,0,28,2,0,0
Michael Thomas,NOR,WR,29,1,1,8,5,0,0,0,0,0,0,57,2,18,0,0,0
Devin Duvernay,BAL,WR,25,1,1,4,4,0,0,0,0,0,0,54,2,17,0,0,0
Taysom Hill,NOR,TE,32,1,1,1,1,0,0,0,81,1,4,2,0,14,0,0,0
Miles Sanders,PHI,RB,25,1,1,2,2,0,0,0,96,1,13,9,0,17,0,0,0
Jerry Jeudy,DEN,WR,23,1,1,7,4,0,0,0,0,0,0,102,1,16,0,0,0
Robbie Anderson,CAR,WR,29,1,1,8,5,0,0,0,0,0,0,102,1,16,0,0,0
A.J. Brown,PHI,WR,25,1,1,13,10,0,0,0,0,0,0,155,0,16,0,0,0
Jalen Hurts,PHI,QB,24,1,1,0,0,243,0,32,90,1,17,0,0,25,0,0,0
Jahan Dotson,WAS,WR,22,1,1,5,3,0,0,0,-10,0,1,40,2,15,0,0,0
AJ Dillon,GNB,RB,24,1,0,6,5,0,0,0,45,1,10,46,0,15,0,0,0
Gabriel Davis,BUF,WR,23,1,1,5,4,0,0,0,0,0,0,88,1,15,0,0,0
Jamaal Williams,DET,RB,27,1,0,2,1,0,0,0,28,2,11,2,0,15,0,0,0
Joe Mixon,CIN,RB,26,1,1,9,7,0,0,0,82,0,27,63,0,15,0,0,0
Nick Chubb,CLE,RB,27,1,1,1,1,0,0,0,141,0,22,2,0,14,0,0,0
Gerald Everett,LAC,TE,28,1,1,4,3,0,0,0,0,0,0,54,1,11,0,0,0
Jaylen Waddle,MIA,WR,24,1,1,5,4,0,0,0,8,0,1,69,1,14,0,0,0
Justin Herbert,LAC,QB,24,1,1,0,0,279,3,34,1,0,4,0,0,23,0,0,0
Leonard Fournette,TAM,RB,27,1,1,2,2,0,0,0,127,0,21,10,0,14,0,0,0
Mike Evans,TAM,WR,29,1,1,7,5,0,0,0,0,0,0,71,1,13,0,0,0
Sterling Shepard,NYG,WR,29,1,0,4,2,0,0,0,0,0,0,71,1,13,0,0,0
Will Dissly,SEA,TE,26,1,1,3,3,0,0,0,0,0,0,43,1,10,0,0,0
Colby Parkinson,SEA,TE,23,1,0,2,2,0,0,0,0,0,0,43,1,10,0,0,0
Antonio Gibson,WAS,RB,24,1,1,8,7,0,0,0,58,0,14,72,0,13,0,0,0
Amon-Ra St. Brown,DET,WR,23,1,1,12,8,0,0,0,0,0,0,64,1,12,0,0,0
DeAndre Carter,LAC,WR,29,1,0,4,3,0,0,0,0,0,0,64,1,12,0,0,0
Jameis Winston,NOR,QB,28,1,1,0,0,269,2,34,9,0,2,0,0,22,0,0,0
Isiah Pacheco,KAN,RB,22,1,0,0,0,0,0,0,62,1,12,0,0,12,0,1,0
Rashod Bateman,BAL,WR,23,1,1,5,2,0,0,0,0,0,0,59,1,12,0,0,0
Zach Ertz,ARI,TE,32,1,1,4,2,0,0,0,0,0,0,14,1,9,0,0,0
Terry McLaurin,WAS,WR,27,1,1,4,2,0,0,0,0,0,0,58,1,12,0,0,0
Christian Kirk,JAX,WR,26,1,1,12,6,0,0,0,0,0,0,117,0,12,0,0,0
Christian McCaffrey,CAR,RB,26,1,1,4,4,0,0,0,33,1,10,24,0,12,0,0,0
Jarvis Landry,NOR,WR,30,1,1,9,7,0,0,0,0,0,0,114,0,11,0,0,0
James Conner,ARI,RB,27,1,1,6,5,0,0,0,26,1,10,29,0,12,0,1,0
Curtis Samuel,WAS,WR,26,1,0,11,8,0,0,0,17,0,4,55,1,11,0,1,1
DJ Chark,DET,WR,26,1,1,8,4,0,0,0,0,0,0,52,1,11,0,0,0
Dante Pettis,CHI,WR,27,1,1,1,1,0,0,0,0,0,0,51,1,11,0,0,0
Kyler Murray,ARI,QB,25,1,1,0,0,193,2,34,29,0,5,0,0,21,0,1,0
Deebo Samuel,SFO,WR,26,1,1,8,2,0,0,0,52,1,8,14,0,11,0,1,1
Lamar Jackson,BAL,QB,25,1,1,0,0,213,3,30,17,0,6,0,0,20,1,0,0
Dalvin Cook,MIN,RB,27,1,1,5,3,0,0,0,90,0,20,18,0,11,0,0,0
Darren Waller,LVR,TE,30,1,1,6,4,0,0,0,0,0,0,79,0,8,0,0,0
Marquise Brown,ARI,WR,25,1,1,6,4,0,0,0,0,0,0,43,1,10,0,0,0
Marcus Mariota,ATL,QB,29,1,1,0,0,215,0,33,72,1,12,0,0,20,0,2,1
Khalil Herbert,CHI,RB,24,1,0,1,1,0,0,0,45,1,9,-2,0,10,0,0,0
Pat Freiermuth,PIT,TE,24,1,1,10,5,0,0,0,0,0,0,75,0,8,0,0,0
Tyreek Hill,MIA,WR,28,1,1,12,8,0,0,0,6,0,1,94,0,10,0,1,0
Tyler Conklin,NYJ,TE,27,1,1,7,4,0,0,0,0,0,0,14,1,7,0,1,0
Michael Carter,NYJ,RB,23,1,1,9,7,0,0,0,60,0,10,40,0,10,0,0,0
Ryan Tannehill,TEN,QB,34,1,1,0,0,266,2,33,7,0,2,0,0,19,0,0,0
Kirk Cousins,MIN,QB,34,1,1,0,0,277,2,32,0,0,0,0,0,19,0,0,0
Tyler Boyd,CIN,WR,28,1,0,7,4,0,0,0,0,0,0,33,1,9,0,0,0
Kenneth Gainwell,PHI,RB,23,1,0,4,2,0,0,0,20,1,5,12,0,9,0,0,0
Dalton Schultz,DAL,TE,26,1,1,9,7,0,0,0,0,0,0,62,0,6,0,0,0
Julio Jones,TAM,WR,33,1,0,5,3,0,0,0,17,0,2,69,0,9,0,0,0
Derek Watt,PIT,,30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Javonte Williams,DEN,RB,22,1,1,12,11,0,0,0,43,0,7,65,0,9,0,1,1
Chris Myarick,NYG,TE,27,1,1,1,1,0,0,0,0,0,0,1,1,6,0,0,0
Michael Burton,KAN,,30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Baker Mayfield,CAR,QB,27,1,1,0,0,235,1,27,6,1,5,0,0,18,1,4,0
Joe Burrow,CIN,QB,26,1,1,0,0,338,2,53,47,0,6,0,0,18,4,2,1
Russell Wilson,DEN,QB,34,1,1,0,0,340,1,42,2,0,1,0,0,18,0,0,0
Geno Smith,SEA,QB,32,1,1,0,0,195,2,28,14,0,6,0,0,17,0,1,0
Jared Goff,DET,QB,28,1,1,0,0,215,2,37,9,0,2,0,0,16,1,1,0
Davis Mills,HOU,QB,24,1,1,0,0,240,2,37,-1,0,2,0,0,16,0,1,1
Daniel Jones,NYG,QB,25,1,1,0,0,188,2,21,25,0,6,0,0,16,1,1,1
Matt Ryan,IND,QB,37,1,1,0,0,352,1,50,12,0,4,0,0,15,1,4,1
Tua Tagovailoa,MIA,QB,24,1,1,0,0,270,1,33,0,0,2,0,0,15,0,1,0
Justin Fields,CHI,QB,23,1,1,0,0,121,2,17,28,0,11,0,0,14,1,0,0
Joe Flacco,NYJ,QB,37,1,1,0,0,307,1,59,0,0,1,0,0,14,1,0,0
Derek Carr,LVR,QB,31,1,1,0,0,295,2,37,0,0,0,0,0,14,3,2,0
Trevor Lawrence,JAX,QB,23,1,1,0,0,275,1,42,4,0,2,0,0,13,1,0,0
Mitchell Trubisky,PIT,QB,28,1,1,0,0,194,1,38,9,0,3,0,0,13,0,0,0
Jacoby Brissett,CLE,QB,30,1,1,0,0,147,1,34,10,0,4,0,0,11,0,0,0
Trey Lance,SFO,QB,22,1,1,0,0,164,0,28,54,0,13,0,0,10,1,1,0
Tom Brady,TAM,QB,45,1,1,0,0,212,1,27,-1,0,2,0,0,10,1,0,0
Mac Jones,NWE,QB,24,1,1,0,0,213,1,30,0,0,2,0,0,9,1,1,1
Najee Harris,PIT,RB,24,1,1,2,2,0,0,0,23,0,10,3,1,9,0,0,0
Brandon Bolden,LVR,RB,32,1,0,2,2,0,0,0,7,0,3,21,1,9,0,0,0
Isaiah McKenzie,BUF,WR,27,1,1,3,2,0,0,0,0,0,0,19,1,8,0,0,0
Equanimeous St. Brown,CHI,WR,26,1,1,3,1,0,0,0,0,0,0,18,1,8,0,0,0
Aaron Jones,GNB,RB,28,1,1,5,3,0,0,0,49,0,5,27,0,8,0,0,0
Brandin Cooks,HOU,WR,29,1,1,12,7,0,0,0,0,0,0,82,0,8,0,0,0
Mecole Hardman,KAN,WR,24,1,1,6,3,0,0,0,0,0,0,16,1,8,0,0,0
Corey Davis,NYJ,WR,27,1,0,9,6,0,0,0,0,0,0,77,0,8,0,0,0
Derrick Henry,TEN,RB,28,1,1,1,0,0,0,0,82,0,21,0,0,8,0,1,0
Matthew Stafford,LAR,QB,34,1,1,0,0,240,1,41,2,0,1,0,0,8,3,1,0
Drake London,ATL,WR,21,1,0,7,5,0,0,0,0,0,0,74,0,7,0,0,0
Noah Brown,DAL,WR,26,1,1,9,5,0,0,0,0,0,0,68,0,7,0,0,0
Courtland Sutton,DEN,WR,27,1,1,7,4,0,0,0,0,0,0,72,0,7,0,0,0
Rex Burkhead,HOU,RB,32,1,0,8,5,0,0,0,40,0,14,30,0,7,0,0,0
Travis Etienne,JAX,RB,23,1,0,4,2,0,0,0,47,0,4,18,0,7,0,1,0
Zay Jones,JAX,WR,27,1,1,9,6,0,0,0,0,0,0,65,0,7,0,0,0
Chase Edmonds,MIA,RB,26,1,1,4,4,0,0,0,25,0,12,40,0,7,0,0,0
Ty Montgomery,NWE,WR,29,1,0,4,3,0,0,0,-2,0,2,15,1,7,0,0,0
Boston Scott,PHI,RB,27,1,0,0,0,0,0,0,10,1,4,0,0,7,0,0,0
Josh Jacobs,LVR,RB,24,1,1,1,1,0,0,0,57,0,10,16,0,7,0,0,0
Darrell Henderson,LAR,RB,25,1,1,5,5,0,0,0,47,0,13,26,0,7,0,0,0
Keenan Allen,LAC,WR,30,1,1,4,4,0,0,0,0,0,0,66,0,7,0,0,0
Austin Ekeler,LAC,RB,27,1,1,4,4,0,0,0,36,0,14,36,0,7,0,0,0
Zander Horvath,LAC,RB,24,1,0,2,2,0,0,0,2,0,1,6,1,7,0,0,0
Rashaad Penny,SEA,RB,26,1,1,3,2,0,0,0,60,0,12,7,0,7,0,1,0
Devin Singletary,BUF,RB,25,1,1,2,2,0,0,0,48,0,8,14,0,6,0,0,0
Donovan Peoples-Jones,CLE,WR,23,1,1,11,6,0,0,0,0,0,0,60,0,6,0,0,0
Eno Benjamin,ARI,RB,23,1,0,4,3,0,0,0,28,0,4,33,0,6,0,0,0
Greg Dortch,ARI,WR,24,1,1,9,7,0,0,0,0,0,0,63,0,6,0,0,0
Joe Fortson,KAN,TE,27,1,0,1,1,0,0,0,0,0,0,1,1,6,0,0,0
JuJu Smith-Schuster,KAN,WR,26,1,1,8,6,0,0,0,0,0,0,79,0,6,0,2,1
Chris Olave,NOR,WR,22,1,0,3,3,0,0,0,0,0,0,41,0,6,0,0,0
Damien Harris,NWE,RB,25,1,1,3,2,0,0,0,48,0,9,10,0,6,0,0,0
Jakobi Meyers,NWE,WR,26,1,1,6,4,0,0,0,7,0,1,55,0,6,0,0,0
Richie James,NYG,WR,27,1,0,6,5,0,0,0,2,0,1,59,0,6,0,0,0
Treylon Burks,TEN,WR,22,1,0,5,3,0,0,0,0,0,0,55,0,6,0,0,0
Dallas Goedert,PHI,TE,27,1,1,4,3,0,0,0,0,0,0,60,0,6,0,0,0
Diontae Johnson,PIT,WR,26,1,1,12,7,0,0,0,0,0,0,55,0,6,0,1,0
Jauan Jennings,SFO,WR,25,1,1,6,4,0,0,0,0,0,0,62,0,6,0,0,0
D.J. Moore,CAR,WR,25,1,1,6,3,0,0,0,7,0,1,43,0,5,0,0,0
Ian Thomas,CAR,TE,26,1,1,3,2,0,0,0,0,0,0,53,0,5,0,0,0
David Montgomery,CHI,RB,25,1,1,4,3,0,0,0,26,0,17,24,0,5,0,0,0
Hayden Hurst,CIN,TE,29,1,1,8,5,0,0,0,0,0,0,46,0,5,0,0,0
