,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Justin Jefferson,MIN,WR,23,1,1,0,0,0,0,0,0,0,,0,11,9,184,20.44,2,0,0,2,,,30,39.4,42.4,34.9,22,1,1,JeffJu00
2,Saquon Barkley,NYG,RB,25,1,1,0,0,0,0,0,18,164,9.11,1,7,6,30,5.00,0,1,0,1,1,,27,33.4,36.4,30.4,19,1,2,BarkSa00
3,Patrick Mahomes,KAN,QB,27,1,1,30,39,360,5,0,3,5,1.67,0,0,0,0,,0,1,0,0,,,35,34.9,37.9,34.9,17,1,3,MahoPa00
4,Jonathan Taylor,IND,RB,23,1,1,0,0,0,0,0,31,161,5.19,1,7,4,14,3.50,0,0,0,1,,,24,27.5,30.5,25.5,15,2,4,TaylJo02
5,D'Andre Swift,DET,RB,23,1,1,0,0,0,0,0,15,144,9.60,1,3,3,31,10.33,0,0,0,1,,,24,26.5,29.5,25.0,15,3,5,SwifDA00
6,Josh Allen,BUF,QB,26,1,1,26,31,297,3,2,10,56,5.60,1,0,0,0,,0,0,0,1,,,31,31.5,33.5,33.5,13,2,6,AlleJo02
7,Travis Kelce,KAN,TE,33,1,1,0,0,0,0,0,0,0,,0,9,8,121,15.13,1,0,0,1,,,18,26.1,29.1,22.1,12,1,7,KelcTr00
8,Davante Adams,LVR,WR,30,1,1,0,0,0,0,0,0,0,,0,17,10,141,14.10,1,0,0,1,,,20,30.1,33.1,25.1,12,2,8,AdamDa01
9,Cordarrelle Patterson,ATL,RB,31,1,0,0,0,0,0,0,22,120,5.45,1,5,3,16,5.33,0,0,0,1,,,20,22.6,25.6,21.1,11,4,9,PattCo00
10,Clyde Edwards-Helaire,KAN,RB,23,1,1,0,0,0,0,0,7,42,6.00,0,3,3,32,10.67,2,0,0,2,,,19,22.4,22.4,20.9,11,5,10,EdwaCl00
11,Ja'Marr Chase,CIN,WR,22,1,1,0,0,0,0,0,0,0,,0,16,10,129,12.90,1,0,0,1,,,19,28.9,31.9,23.9,10,3,11,ChasJa00
12,Cooper Kupp,LAR,WR,29,1,1,0,0,0,0,0,0,0,,0,15,13,128,9.85,1,0,0,1,,,19,31.8,34.8,25.3,10,4,12,KuppCo00
13,Kareem Hunt,CLE,RB,27,1,0,0,0,0,0,0,11,46,4.18,1,4,4,24,6.00,1,0,0,2,,,19,23.0,23.0,21.0,10,6,13,HuntKa00
14,Dontrell Hilliard,TEN,RB,27,1,0,0,0,0,0,0,2,8,4.00,0,4,3,61,20.33,2,0,0,2,,,19,21.9,21.9,20.4,10,8,14,HillDo00
